# Mean_MJD=56660.209
# RMID=072 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.963
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0192
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -9.1460e-01  0.0000e+00    16777216    88080384
  3567.796 -9.1449e-01  6.0731e+00           0    71303168
  3568.617  2.7219e+00  0.0000e+00           0    71303168
  3569.439  6.3576e+00  4.7157e+00           0           0
  3570.261  5.0939e+00  4.6644e+00           0           0
  3571.083  1.8688e+01  4.7027e+00           0           0
  3571.906  2.4381e+00  4.5255e+00           0           0
  3572.728  1.0059e+01  4.5238e+00           0           0
  3573.551  4.4290e+00  4.2871e+00           0           0
  3574.374  5.3963e+00  4.3484e+00           0           0
  3575.197  1.4842e+01  4.5000e+00           0           0
  3576.020  8.4915e+00  4.4546e+00           0           0
  3576.844  1.4846e+01  4.4701e+00           0           0
  3577.668  6.9498e+00  4.3453e+00           0           0
  3578.491  1.1513e+01  4.4523e+00           0           0
  3579.315  2.2618e+01  4.8276e+00           0           0
  3580.140  2.0662e+01  4.6098e+00           0           0
  3580.964  8.1312e+00  4.3982e+00           0           0
  3581.789  1.8580e+01  4.6365e+00           0           0
  3582.614  1.4035e+01  4.5955e+00           0           0
  3583.439  1.5440e+01  4.5072e+00           0           0
  3584.264  1.6997e+01  4.4778e+00           0           0
  3585.089  1.0938e+01  4.1904e+00           0           0
  3585.915  5.5169e+00  4.0562e+00           0           0
  3586.741  7.7510e+00  4.0744e+00           0           0
  3587.567  4.4509e+00  3.9815e+00           0           0
  3588.393  5.3195e+00  4.0457e+00           0           0
  3589.219  8.5537e+00  4.0732e+00           0           0
  3590.046  1.0975e+01  4.1877e+00           0           0
  3590.872  1.3091e+01  4.2240e+00           0           0
  3591.699  1.2586e+01  4.2193e+00           0           0
  3592.526  1.7362e+01  4.2545e+00           0           0
  3593.354  7.9033e+00  3.8600e+00           0           0
  3594.181  3.9925e+00  3.8410e+00           0           0
  3595.009  1.4215e+01  3.9292e+00           0           0
  3595.837  1.7283e+01  4.0430e+00           0           0
  3596.665  4.3698e+00  3.7184e+00           0           0
  3597.493  1.1091e+01  3.8402e+00           0           0
  3598.322  1.4780e+01  3.9091e+00           0           0
  3599.150  1.1065e+01  3.9046e+00           0           0
  3599.979  1.1904e+01  3.9539e+00           0           0
  3600.808  1.9579e+01  4.0576e+00           0           0
  3601.637  1.0265e+01  3.8109e+00           0           0
  3602.467  4.8083e+00  3.5038e+00           0           0
  3603.296  4.8453e+00  3.4388e+00           0           0
  3604.126  6.4725e+00  3.5542e+00           0           0
  3604.956  9.4219e+00  3.4716e+00           0           0
  3605.786  1.4945e+01  3.6506e+00           0           0
  3606.617  1.7188e+01  3.7036e+00           0           0
  3607.447  1.0778e+01  3.4356e+00           0           0
  3608.278  7.1547e+00  3.3341e+00           0           0
  3609.109  9.7435e+00  3.3137e+00           0           0
  3609.940  1.2308e+01  3.5542e+00           0           0
  3610.771  1.0717e+01  3.4447e+00           0           0
  3611.603  1.5088e+01  3.4814e+00           0           0
  3612.434  1.1293e+01  3.4554e+00           0           0
  3613.266  1.0721e+01  3.4523e+00           0           0
  3614.098  7.2403e+00  3.3630e+00           0           0
  3614.931  3.6324e+00  3.4398e+00           0           0
  3615.763  1.1185e+01  3.5170e+00           0           0
  3616.596  1.3626e+01  3.5292e+00           0           0
  3617.429  4.8729e+00  3.2542e+00           0           0
  3618.262  8.1697e+00  3.4107e+00           0           0
