# Mean_MJD=56660.209
# RMID=081 SOURCE_TYPE=RM_TILE2
# ZFINAL=1.584
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0238
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -2.6089e+00  6.3823e+00           0    71303168
  3567.796 -7.3965e+00  6.3699e+00           0    71303168
  3568.617  1.8057e+01  5.0474e+00           0    71303168
  3569.439  7.0008e+00  4.4096e+00           0           0
  3570.261  1.3404e+01  4.4167e+00           0           0
  3571.083  5.8267e+00  4.2706e+00           0           0
  3571.906  7.2280e+00  4.0721e+00           0           0
  3572.728  8.6809e+00  3.8738e+00           0           0
  3573.551  5.4207e+00  3.9646e+00           0           0
  3574.374  1.4737e+01  4.1351e+00           0           0
  3575.197  9.5560e+00  4.1687e+00           0           0
  3576.020  6.8770e+00  4.0709e+00           0           0
  3576.844  5.1791e+00  3.8873e+00           0           0
  3577.668  2.6960e+00  3.9388e+00           0           0
  3578.491  3.1513e+00  3.8990e+00           0           0
  3579.315  8.5105e+00  3.9520e+00           0           0
  3580.140  6.8074e+00  3.9566e+00           0           0
  3580.964  7.5481e+00  3.9858e+00           0           0
  3581.789  9.1571e+00  4.0768e+00           0           0
  3582.614  1.2343e+01  4.0882e+00           0           0
  3583.439  1.1210e+01  3.9128e+00           0           0
  3584.264  1.6080e-01  3.7528e+00           0           0
  3585.089  6.6400e+00  3.8623e+00           0           0
  3585.915  3.9735e+00  3.9205e+00           0           0
  3586.741  3.5069e+00  3.7959e+00           0           0
  3587.567  7.3103e+00  3.7452e+00           0           0
  3588.393  9.5998e+00  3.7212e+00           0           0
  3589.219  9.8400e+00  3.6790e+00           0           0
  3590.046  1.1373e+01  3.6585e+00           0           0
  3590.872  4.7708e+00  3.4202e+00           0           0
  3591.699  2.7626e+00  3.2428e+00           0           0
  3592.526  7.4387e+00  3.4967e+00           0           0
  3593.354  1.1737e+01  3.6556e+00           0           0
  3594.181  1.0550e+01  3.6880e+00           0           0
  3595.009  8.1315e+00  3.5925e+00           0           0
  3595.837  1.0711e+01  3.5755e+00           0           0
  3596.665  1.1822e+01  3.8007e+00           0           0
  3597.493  9.8870e+00  3.7501e+00           0           0
  3598.322  6.4878e+00  3.5649e+00           0           0
  3599.150  3.0558e+00  3.4510e+00           0           0
  3599.979  4.3719e+00  3.3849e+00           0           0
  3600.808  1.0130e+01  3.7368e+00           0           0
  3601.637  1.1070e+01  3.5356e+00           0           0
  3602.467  8.0095e+00  3.5547e+00           0           0
  3603.296  6.4957e+00  3.4937e+00           0           0
  3604.126  7.3290e+00  3.3634e+00           0           0
  3604.956  5.2363e+00  3.1994e+00           0           0
  3605.786  8.3361e+00  3.3217e+00           0           0
  3606.617  9.7844e+00  3.2949e+00           0           0
  3607.447  7.0244e+00  3.1842e+00           0           0
  3608.278  6.7855e+00  3.2151e+00           0           0
  3609.109  1.3224e+01  3.3347e+00           0           0
  3609.940  6.6972e+00  3.2634e+00           0           0
  3610.771  5.2026e+00  3.1335e+00           0           0
  3611.603  8.9936e+00  3.4045e+00           0           0
  3612.434  1.1277e+01  3.3290e+00           0           0
  3613.266  1.2010e+01  3.4071e+00           0           0
  3614.098  1.5127e+01  3.3674e+00           0           0
  3614.931  8.5666e+00  3.0857e+00           0           0
  3615.763  8.5414e+00  3.1536e+00           0           0
  3616.596  1.1721e+01  3.3145e+00           0           0
  3617.429  1.3536e+01  3.3450e+00           0           0
  3618.262  1.1853e+01  3.3164e+00           0           0
  3619.095  8.2235e+00  3.2393e+00           0           0
  3619.928  1.1931e+01  3.2760e+00           0           0
  3620.762  1.0299e+01  3.2734e+00           0           0
  3621.596  1.2694e+01  3.2868e+00           0           0
  3622.430  1.0844e+01  3.1692e+00           0           0
  3623.264  3.1095e+00  2.9909e+00           0           0
  3624.098  6.1683e+00  2.9375e+00           0           0
  3624.933  1.1620e+01  3.0396e+00           0           0
  3625.768  8.9266e+00  2.9280e+00           0           0
  3626.603  1.0017e+01  3.1051e+00           0           0
  3627.438  1.0151e+01  3.0624e+00           0           0
  3628.273  6.2356e+00  3.0171e+00           0           0
  3629.109  6.9338e+00  2.9408e+00           0           0
  3629.944  3.5631e+00  2.8250e+00           0           0
  3630.780  9.1678e+00  3.0267e+00           0           0
  3631.616  1.2977e+01  3.1392e+00           0           0
  3632.453  7.5834e+00  2.9407e+00           0           0
  3633.289  3.6554e+00  2.8644e+00           0           0
  3634.126  1.2850e+01  3.0282e+00           0           0
  3634.963  2.8117e+00  2.9034e+00           0           0
  3635.800  4.9917e+00  2.8226e+00           0           0
  3636.637  7.9777e+00  2.9571e+00           0           0
  3637.475  6.2251e+00  2.8841e+00           0           0
  3638.312  7.4224e+00  3.0813e+00           0           0
  3639.150  1.4830e+01  3.1685e+00           0      851968
  3639.988  8.9213e+00  3.0969e+00           0      851968
  3640.826  1.7493e+01  3.2166e+00           0      851968
  3641.665  1.6021e+01  3.1954e+00           0      851968
  3642.503  9.1190e+00  3.0535e+00           0      851968
  3643.342  1.0067e+01  2.8293e+00           0           0
  3644.181  1.1271e+01  2.8476e+00           0           0
  3645.021  4.3868e+00  2.6872e+00           0           0
  3645.860  2.2676e+00  2.6441e+00           0           0
  3646.699  6.9136e+00  2.6715e+00           0           0
  3647.539  8.0491e+00  2.6158e+00           0           0
  3648.379  3.2477e+00  2.4770e+00           0           0
  3649.219  3.4250e+00  2.5707e+00           0           0
  3650.060  6.1367e+00  2.7039e+00           0           0
  3650.900  5.1145e+00  2.6180e+00           0           0
  3651.741  4.5483e+00  2.7017e+00           0           0
  3652.582  6.8030e+00  2.6000e+00           0           0
  3653.423  8.4274e+00  2.5777e+00           0           0
  3654.264  5.7381e+00  2.4683e+00           0           0
  3655.106  7.3449e+00  2.5758e+00           0           0
  3655.948  8.3530e+00  2.6585e+00           0           0
  3656.790  6.0135e+00  2.4212e+00           0           0
  3657.632  3.7024e+00  2.3275e+00           0           0
  3658.474  3.2223e+00  2.1846e+00           0           0
  3659.317  2.6719e+00  2.1927e+00           0           0
  3660.159  6.0064e+00  2.3024e+00           0           0
  3661.002  6.9198e+00  2.3364e+00           0           0
  3661.845  8.3829e+00  2.4917e+00           0           0
