# Mean_MJD=56660.209
# RMID=095 SOURCE_TYPE=RM_TILE2
# ZFINAL=2.319
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0692
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974  1.1761e+00  0.0000e+00    88080384    88080384
  3567.796  1.1758e+00  0.0000e+00    88080384    88080384
  3568.617  1.1754e+00  0.0000e+00    88080384    88080384
  3569.439  1.1750e+00  0.0000e+00    88080384    88080384
  3570.261  1.1747e+00  0.0000e+00    88080384    88080384
  3571.083  1.1743e+00  0.0000e+00    88080384    88080384
  3571.906  1.1739e+00  0.0000e+00    88080384    88080384
  3572.728  1.1735e+00  0.0000e+00    88080384    88080384
  3573.551  1.1732e+00  0.0000e+00    88080384    88080384
  3574.374  1.1728e+00  0.0000e+00    88080384    88080384
  3575.197  1.1724e+00  0.0000e+00    88080384    88080384
  3576.020  1.1721e+00  0.0000e+00    88080384    88080384
  3576.844  1.1717e+00  0.0000e+00    88080384    88080384
  3577.668  1.1713e+00  0.0000e+00    88080384    88080384
  3578.491  1.1710e+00  0.0000e+00    88080384    88080384
  3579.315  1.1706e+00  0.0000e+00    88080384    88080384
  3580.140  1.1702e+00  0.0000e+00    88080384    88080384
  3580.964  1.1699e+00  0.0000e+00    88080384    88080384
  3581.789  1.1695e+00  0.0000e+00    88080384    88080384
  3582.614  1.1692e+00  0.0000e+00    88080384    88080384
  3583.439  1.1688e+00  0.0000e+00    88080384    88080384
  3584.264  1.1684e+00  0.0000e+00    88080384    88080384
  3585.089  1.1681e+00  0.0000e+00    88080384    88080384
  3585.915  1.1677e+00  0.0000e+00    88080384    88080384
  3586.741  1.1673e+00  0.0000e+00    88080384    88080384
  3587.567  1.1670e+00  0.0000e+00    88080384    88080384
  3588.393  1.1666e+00  0.0000e+00    88080384    88080384
  3589.219  1.1663e+00  0.0000e+00    88080384    88080384
  3590.046  1.1659e+00  0.0000e+00    88080384    88080384
  3590.872  1.1656e+00  0.0000e+00    88080384    88080384
