# Mean_MJD=56660.209
# RMID=118 SOURCE_TYPE=RM_TILE1
# ZFINAL=0.714
# EPOCH= 1
# PLATE=7338 MJD=56660 FIBERID=0272
# Wave[vaccum]  Flux  Flux_Err  ANDMASK  ORMASK
# [Ang]         [10^(-17) erg/cm2/s/Ang]
  3566.974 -7.9471e+00  0.0000e+00    16777216    88080384
  3567.796 -7.9462e+00  5.3870e+00           0    71303168
  3568.617  6.9361e+00  0.0000e+00           0   104857600
  3569.439  2.1815e+01  4.3479e+00           0    33554432
  3570.261  2.1074e+01  4.2078e+00           0           0
  3571.083  1.9753e+01  3.8732e+00           0           0
  3571.906  2.1844e+01  3.8579e+00           0           0
  3572.728  2.9770e+01  4.0876e+00           0           0
  3573.551  3.1524e+01  4.0779e+00           0           0
  3574.374  2.3827e+01  3.9400e+00           0           0
  3575.197  2.9979e+01  4.0887e+00           0           0
  3576.020  2.7381e+01  4.0776e+00           0           0
  3576.844  2.3611e+01  4.1446e+00           0           0
  3577.668  2.1312e+01  3.8962e+00           0           0
  3578.491  1.5687e+01  3.9084e+00           0           0
  3579.315  2.4194e+01  4.0029e+00           0           0
  3580.140  2.1951e+01  3.9366e+00           0           0
  3580.964  1.9404e+01  3.8792e+00           0           0
  3581.789  2.3288e+01  3.9080e+00           0           0
  3582.614  2.4458e+01  3.8262e+00           0           0
  3583.439  1.7961e+01  3.7807e+00           0           0
  3584.264  2.7274e+01  3.9791e+00           0           0
  3585.089  2.7793e+01  4.0987e+00           0           0
  3585.915  1.8844e+01  3.6583e+00           0           0
  3586.741  2.1754e+01  3.8778e+00           0           0
  3587.567  2.8387e+01  3.8912e+00           0           0
  3588.393  2.0097e+01  3.7135e+00           0           0
  3589.219  2.8073e+01  3.8087e+00           0           0
  3590.046  2.4500e+01  3.6803e+00           0           0
  3590.872  1.9512e+01  3.5560e+00           0           0
  3591.699  2.2156e+01  3.6480e+00           0           0
  3592.526  2.5360e+01  3.7362e+00           0           0
  3593.354  2.0633e+01  3.6636e+00           0           0
  3594.181  2.2408e+01  3.6204e+00           0           0
  3595.009  2.4291e+01  3.6475e+00           0           0
  3595.837  2.3503e+01  3.5129e+00           0           0
  3596.665  2.2189e+01  3.4708e+00           0           0
  3597.493  2.2515e+01  3.4483e+00           0           0
  3598.322  2.4567e+01  3.5114e+00           0           0
  3599.150  2.6801e+01  3.4859e+00           0           0
  3599.979  2.6965e+01  3.4987e+00           0           0
  3600.808  2.9195e+01  3.4638e+00           0           0
  3601.637  2.5152e+01  3.3816e+00           0           0
  3602.467  1.8180e+01  3.2010e+00           0           0
  3603.296  2.0001e+01  3.2062e+00           0           0
  3604.126  2.1848e+01  3.3023e+00           0           0
  3604.956  1.8718e+01  3.2150e+00           0           0
  3605.786  1.9757e+01  3.2385e+00           0           0
  3606.617  2.0333e+01  3.1714e+00           0           0
  3607.447  1.9671e+01  3.2086e+00           0           0
  3608.278  2.0374e+01  3.2057e+00           0           0
  3609.109  1.4428e+01  3.0482e+00           0           0
  3609.940  2.2807e+01  3.2825e+00           0           0
  3610.771  2.5838e+01  3.2952e+00           0           0
  3611.603  2.1406e+01  3.1781e+00           0           0
  3612.434  1.9341e+01  3.1160e+00           0           0
  3613.266  2.3111e+01  3.2306e+00           0           0
  3614.098  2.0608e+01  3.1701e+00           0           0
  3614.931  2.1691e+01  3.2350e+00           0           0
  3615.763  2.4395e+01  3.4626e+00           0    33554432
  3616.596  2.0718e+01  3.3894e+00           0    33554432
  3617.429  1.5065e+01  3.0614e+00           0           0
  3618.262  1.8124e+01  3.2147e+00           0           0
  3619.095  2.1950e+01  3.2438e+00           0           0
  3619.928  1.8651e+01  3.1389e+00           0       65536
  3620.762  2.6171e+01  3.4528e+00           0       65536
  3621.596  2.6276e+01  3.3545e+00           0       65536
  3622.430  2.0685e+01  3.2128e+00           0       65536
  3623.264  2.7345e+01  3.2097e+00           0           0
  3624.098  2.3604e+01  3.1240e+00           0           0
  3624.933  2.4536e+01  3.0249e+00           0           0
  3625.768  1.8084e+01  2.8574e+00           0           0
  3626.603  1.9288e+01  2.9326e+00           0           0
  3627.438  2.7643e+01  3.1019e+00           0           0
  3628.273  2.5553e+01  3.0672e+00           0           0
  3629.109  2.2834e+01  3.0255e+00           0           0
  3629.944  2.6183e+01  3.1374e+00           0           0
  3630.780  2.2517e+01  3.0045e+00           0           0
  3631.616  1.9694e+01  2.9335e+00           0           0
  3632.453  2.1954e+01  3.0085e+00           0           0
  3633.289  2.2435e+01  3.0586e+00           0           0
  3634.126  2.0701e+01  2.9554e+00           0           0
  3634.963  2.1286e+01  2.9175e+00           0           0
  3635.800  2.1779e+01  2.8469e+00           0           0
  3636.637  2.1161e+01  2.8192e+00           0           0
  3637.475  2.0369e+01  2.7552e+00           0           0
  3638.312  2.0211e+01  2.7359e+00           0           0
  3639.150  1.9252e+01  2.7987e+00           0    33554432
  3639.988  1.7120e+01  2.6781e+00           0    33554432
  3640.826  2.0574e+01  2.6486e+00           0           0
  3641.665  2.5898e+01  2.7857e+00           0           0
  3642.503  2.6492e+01  2.8735e+00           0           0
  3643.342  2.2015e+01  2.8141e+00           0           0
  3644.181  2.1272e+01  2.7315e+00           0           0
  3645.021  2.2485e+01  2.7508e+00           0           0
  3645.860  1.8446e+01  2.6000e+00           0           0
  3646.699  1.8204e+01  2.6170e+00           0           0
  3647.539  2.1994e+01  2.6093e+00           0           0
  3648.379  2.1086e+01  2.6142e+00           0           0
  3649.219  2.0848e+01  2.6243e+00           0           0
  3650.060  1.7519e+01  2.6317e+00           0           0
  3650.900  1.8109e+01  2.7079e+00           0           0
  3651.741  2.1223e+01  2.7644e+00           0           0
  3652.582  2.3362e+01  2.7862e+00           0           0
  3653.423  2.2998e+01  2.7106e+00           0           0
  3654.264  2.0292e+01  2.6264e+00           0           0
