#RMID    RA    DEC 
RM 000    213.65434      53.07299     
RM 001    213.77474      53.06088     
RM 002    213.75646      53.01634     
RM 003    213.66422      53.00806     
RM 004    213.78572      53.00548     
RM 005    213.92252      53.07341     
RM 006    213.50774      53.01627     
RM 007    213.93224      53.12066     
RM 008    213.47848      53.00685     
RM 009    213.49797      53.18036     
RM 010    213.76416      52.92234     
RM 011    213.89252      52.96201     
RM 012    213.48220      53.20064     
RM 013    213.76175      52.90035     
RM 014    213.42758      53.17294     
RM 015    213.92587      53.22355     
RM 016    214.02897      53.15827     
RM 017    213.35115      53.09082     
RM 018    213.34694      53.17620     
RM 019    213.87373      52.86819     
RM 020    213.54862      52.86362     
RM 021    213.31238      53.02762     
RM 022    213.89376      53.30444     
RM 023    213.97692      53.28526     
RM 024    213.85862      53.32826     
RM 025    214.03266      53.25973     
RM 026    213.66811      53.34920     
RM 027    214.00335      52.88209     
RM 028    213.92953      52.84914     
RM 029    213.29461      52.96396     
RM 030    214.01132      53.29584     
RM 031    214.17038      53.11596     
RM 032    213.30637      52.93064     
RM 033    213.88482      52.81831     
RM 034    213.22504      53.13741     
RM 035    213.95815      53.33488     
RM 036    213.58563      53.37130     
RM 037    214.20274      53.09108     
RM 038    214.14908      52.94704     
RM 039    214.02967      53.31800     
RM 040    214.20369      53.15099     
RM 041    214.18242      52.97331     
RM 042    213.58110      52.78097     
RM 043    213.40339      52.82200     
RM 044    214.09516      53.30677     
RM 045    213.75546      53.41070     
RM 046    213.57135      53.40284     
RM 047    214.14755      52.87130     
RM 048    213.64779      53.42695     
RM 049    213.56711      52.74312     
RM 050    213.84390      52.73931     
RM 051    213.46734      53.40969     
RM 052    213.20998      53.28878     
RM 053    213.09484      53.11349     
RM 054    214.31331      53.05105     
RM 055    214.11566      52.80388     
RM 056    213.21206      53.32574     
RM 057    214.34090      53.08177     
RM 058    213.12362      53.24215     
RM 059    214.33871      53.03627     
RM 060    213.08005      52.98262     
RM 061    213.99998      52.73780     
RM 062    213.57372      53.46968     
RM 063    213.14080      52.87780     
RM 064    214.17258      53.36310     
RM 065    213.48798      52.70831     
RM 066    213.85182      53.47577     
RM 067    213.11035      52.89656     
RM 068    213.78568      53.48799     
RM 069    213.53569      52.67744     
RM 070    213.00745      53.14199     
RM 071    213.96388      52.68887     
RM 072    214.24343      52.80177     
RM 073    214.42385      53.08863     
RM 074    212.97814      53.14080     
RM 075    213.07095      52.85763     
RM 076    213.37944      53.48296     
RM 077    214.44593      53.06381     
RM 078    212.97572      53.18875     
RM 079    214.43054      53.19602     
RM 080    213.10251      53.36400     
RM 081    213.86651      52.62971     
RM 082    214.41302      53.27731     
RM 083    213.33225      52.66874     
RM 084    213.15780      52.74133     
RM 085    213.91497      52.62442     
RM 086    214.48733      52.99910     
RM 087    213.36446      52.64774     
RM 088    212.96574      52.89559     
RM 089    214.46136      53.27082     
RM 090    212.93385      53.25239     
RM 091    213.14732      52.72130     
RM 092    212.89244      53.00143     
RM 093    213.02093      53.36128     
RM 094    213.08555      52.75624     
RM 095    213.08113      53.41595     
RM 096    214.11954      53.51678     
RM 097    213.41877      52.60512     
RM 098    213.56810      53.58567     
RM 099    213.68417      53.59878     
RM 100    213.44619      52.59046     
RM 101    213.05917      53.42964     
RM 102    213.47079      52.57895     
RM 103    212.98025      52.79266     
RM 104    213.65825      53.61005     
RM 105    214.50629      52.86688     
RM 106    212.82702      53.13854     
RM 107    214.57276      53.18800     
RM 108    213.11157      52.68899     
RM 109    214.36323      53.44112     
RM 110    214.53221      53.29834     
RM 111    214.11037      53.56847     
RM 112    212.88567      52.85321     
RM 113    213.26827      52.60140     
RM 114    213.89293      53.62056     
RM 115    213.18633      52.63066     
RM 116    213.63526      52.53182     
RM 117    214.62293      53.03550     
RM 118    213.55325      52.53583     
RM 119    212.89816      52.80402     
RM 120    212.90277      52.77685     
RM 121    212.85709      52.82340     
RM 122    214.11960      52.56288     
RM 123    214.65772      53.17155     
RM 124    214.28528      53.54825     
RM 125    212.95800      53.45586     
RM 126    213.53650      53.66063     
RM 127    212.82251      53.34611     
RM 128    212.76324      53.26426     
RM 129    214.34932      52.63502     
RM 130    214.39721      52.64764     
RM 131    213.25970      53.63037     
RM 132    214.52759      53.44159     
RM 133    214.38162      53.54011     
RM 134    212.72743      53.25913     
RM 135    212.79563      52.80433     
RM 136    214.29618      53.58518     
RM 137    212.80246      53.38183     
RM 138    213.90553      53.69337     
RM 139    214.54047      52.71671     
RM 140    214.73422      53.16865     
RM 141    213.35273      52.49393     
RM 142    214.51401      52.69105     
RM 143    213.62963      53.70880     
RM 144    214.68044      53.32245     
RM 145    214.57691      52.73224     
RM 146    213.03807      52.59348     
RM 147    214.59246      53.43319     
RM 148    214.77034      53.09981     
RM 149    214.76625      53.14874     
RM 150    213.21802      52.51282     
RM 151    213.56031      52.44633     
RM 152    213.28347      52.49021     
RM 153    212.75482      53.39103     
RM 154    214.26669      53.63541     
RM 155    212.84871      53.47936     
RM 156    213.39252      53.70613     
RM 157    212.68972      53.32876     
RM 158    214.47802      53.54858     
RM 159    213.69478      52.42325     
RM 160    212.67189      53.31361     
RM 161    212.70371      52.81106     
RM 162    214.05251      52.45244     
RM 163    214.18916      52.48500     
RM 164    214.23221      53.67003     
RM 165    214.51915      52.62918     
RM 166    212.84866      52.65373     
RM 167    214.82110      53.12906     
RM 168    214.34744      52.53164     
RM 169    212.64193      53.30813     
