# Updated Redshifts from Yue Shen
rmid z
rm000 1.463860
rm001 1.292580
rm002 1.755350
rm003 1.282370
rm004 2.767290
rm005 1.020600
rm006 1.517030
rm007 1.861640
rm008 1.612510
rm009 0.8997800
rm010 3.238100
rm011 2.052710
rm012 1.584700
rm013 1.849600
rm014 2.694190
rm015 1.469560
rm016 0.8497600
rm017 0.4565000
rm018 0.8482700
rm019 1.918350
rm020 1.124300
rm021 1.027190
rm022 1.164760
rm023 2.136490
rm024 1.551800
rm025 1.816130
rm026 1.388060
rm027 1.023420
rm028 1.392320
rm029 0.8158100
rm030 2.225730
rm031 1.907140
rm032 1.714780
rm033 0.7150900
rm034 1.824840
rm035 1.803090
rm036 2.215500
rm037 1.181140
rm038 1.383300
rm039 3.040790
rm040 0.5999000
rm041 1.852130
rm042 1.644860
rm043 2.430810
rm044 1.233290
rm045 3.059700
rm046 1.259790
rm047 1.138930
rm048 2.865250
rm049 1.651840
rm050 0.5268700
rm051 2.016610
rm052 2.304880
rm053 0.8945700
rm054 2.155740
rm055 1.534300
rm056 2.680960
rm057 1.929760
rm058 2.299780
rm059 1.890620
rm060 1.165150
rm061 0.9837900
rm062 0.8082900
rm063 1.536780
rm064 2.215840
rm065 2.784600
rm066 2.148540
rm067 1.145510
rm068 3.196360
rm069 2.793380
rm070 2.659120
rm071 1.693270
rm072 1.962430
rm073 3.420860
rm074 1.353610
rm075 2.654560
rm076 1.744800
rm077 0.9142600
rm078 0.5824600
rm079 2.058860
rm080 1.502840
rm081 1.586140
rm082 1.618500
rm083 1.201220
rm084 1.756320
rm085 0.2381400
rm086 1.542510
rm087 3.156730
rm088 0.5175000
rm089 1.214730
rm090 0.9242400
rm091 2.352890
rm092 1.356610
rm093 1.395730
rm094 0.9271500
rm095 2.316350
rm096 2.270540
rm097 2.434040
rm098 2.453490
rm099 2.737850
rm100 1.200420
rm101 0.4577700
rm102 0.8611400
rm103 0.5181000
rm104 2.867180
rm105 1.156340
rm106 1.424290
rm107 2.234320
rm108 2.193040
rm109 1.332080
rm110 2.280620
rm111 1.132910
rm112 1.396980
rm113 2.015490
rm114 1.225920
rm115 1.355110
rm116 1.877700
rm117 2.007050
rm118 0.7150700
rm119 2.728610
rm120 1.230950
rm121 0.9673100
rm122 0.9861800
rm123 0.8909500
rm124 2.015540
rm125 1.075490
rm126 0.1923300
rm127 1.983450
rm128 1.861880
rm129 1.515410
rm130 1.959600
rm131 3.285670
rm132 3.057870
rm133 0.9813800
rm134 0.9637600
rm135 1.314970
rm136 1.569880
rm137 3.266000
rm138 1.761290
rm139 3.192210
rm140 0.6102500
rm141 0.8122400
rm142 1.684800
rm143 1.233040
rm144 2.299900
rm145 2.136560
rm146 1.919400
rm147 1.405620
rm148 1.820720
rm149 1.622480
rm150 1.493200
rm151 1.263480
rm152 1.143810
rm153 2.753050
rm154 2.499410
rm155 1.656930
rm156 1.659760
rm157 1.383290
rm158 1.478210
rm159 1.586730
rm160 0.3598200
rm161 2.066700
rm162 1.923250
rm163 1.631660
rm164 1.907070
rm165 1.084750
rm166 2.619200
rm167 2.899580
rm168 0.4836600
rm169 2.882000
rm170 1.162750
rm171 0.7905600
rm172 3.206510
rm173 0.9721900
rm174 1.162760
rm175 0.8200100
rm176 1.497130
rm177 0.4820300
rm178 1.946840
rm179 2.265490
rm180 3.101010
rm181 1.675430
rm182 1.571260
rm183 1.293040
rm184 0.1933700
rm185 0.9866700
rm186 1.392890
rm187 0.9975700
rm188 1.306230
rm189 1.337870
rm190 1.991860
rm191 0.4418900
rm192 1.023700
rm193 1.002640
rm194 1.559780
rm195 3.212580
rm196 1.595330
rm197 1.130690
rm198 3.522450
rm199 1.223760
rm200 2.668640
rm201 1.811730
rm202 2.634790
rm203 0.9763400
rm204 0.9230600
rm205 2.940300
rm206 2.124670
rm207 2.619850
rm208 3.439780
rm209 1.280300
rm210 1.903040
rm211 0.9706400
rm212 1.273510
rm213 2.716090
rm214 1.827390
rm215 0.8848000
rm216 2.036300
rm217 1.817010
rm218 2.101500
rm219 2.009690
rm220 2.037780
rm221 1.728870
rm222 2.009280
rm223 2.400780
rm224 1.329660
rm225 1.837680
rm226 2.914740
rm227 1.607620
rm228 1.263520
rm229 0.4698100
rm230 2.002580
rm231 1.645390
rm232 0.8081600
rm233 3.768190
rm234 1.319740
rm235 0.7852900
rm236 1.339100
rm237 2.392370
rm238 2.189190
rm239 1.532780
rm240 0.7617200
rm241 2.154900
rm242 2.591470
rm243 0.6594900
rm244 1.759040
rm245 1.670400
rm246 1.296120
rm247 1.308450
rm248 2.730590
rm249 1.716780
rm250 1.285060
rm251 2.195650
rm252 0.2808700
rm253 1.817170
rm254 1.544920
rm255 0.9931700
rm256 2.243750
rm257 2.418630
rm258 0.9952400
rm259 1.844570
rm260 0.9954400
rm261 1.227000
rm262 3.169760
rm263 3.192350
rm264 2.120340
rm265 0.7359700
rm266 2.391620
rm267 0.5878800
rm268 0.6506300
rm269 2.393000
rm270 0.4209100
rm271 2.096600
rm272 0.2629000
rm273 2.796970
rm274 0.7933300
rm275 1.577220
rm276 2.152540
rm277 0.8256100
rm278 1.023950
rm279 2.397620
rm280 1.366360
rm281 1.500970
rm282 3.352970
rm283 1.847110
rm284 2.386320
rm285 1.034190
rm286 1.750610
rm287 2.911020
rm288 1.288390
rm289 1.461850
rm290 1.078540
rm291 0.5315800
rm292 1.272000
rm293 1.849530
rm294 1.214940
rm295 2.351960
rm296 1.120190
rm297 1.026950
rm298 1.635150
rm299 1.908330
rm300 0.6460500
rm301 0.5482300
rm302 0.9814300
rm303 0.8205800
rm304 1.491590
rm305 0.5273100
rm306 1.120630
rm307 1.601330
rm308 1.129950
rm309 1.317920
rm310 2.769740
rm311 2.597520
rm312 1.924130
rm313 1.280470
rm314 2.709590
rm315 1.257350
rm316 0.6778600
rm317 1.602140
rm318 1.514670
rm319 2.337280
rm320 0.2650900
rm321 1.720000
rm322 2.027710
rm323 0.8043700
rm324 0.6023400
rm325 3.710070
rm326 2.453140
rm327 1.674610
rm328 1.077150
rm329 0.7209800
rm330 2.156160
rm331 0.7356100
rm332 2.580780
rm333 1.094720
rm334 2.375040
rm335 2.166790
rm336 0.8486500
rm337 0.7086500
rm338 0.4180400
rm339 2.010320
rm340 1.194370
rm341 0.4256900
rm342 1.696350
rm343 2.894740
rm344 1.948370
rm345 3.550170
rm346 1.588740
rm347 1.985730
rm348 1.676160
rm349 3.613680
rm350 0.8595600
rm351 1.716780
rm352 2.910030
rm353 2.190470
rm354 1.111240
rm355 0.7531300
rm356 0.9864600
rm357 2.141340
rm358 1.906130
rm359 2.309070
rm360 2.350670
rm361 1.617290
rm362 1.859920
rm363 2.635420
rm364 2.279960
rm365 1.770520
rm366 2.420120
rm367 2.897400
rm368 3.065740
rm369 0.7183100
rm370 0.8824800
rm371 0.4726300
rm372 1.744550
rm373 0.8822000
rm374 2.326650
rm375 0.6471800
rm376 0.9338600
rm377 0.3372400
rm378 0.6000000
rm379 2.320650
rm380 1.968940
rm381 2.537570
rm382 0.8366000
rm383 4.287610
rm384 1.172270
rm385 0.8250100
rm386 1.864850
rm387 2.425790
rm388 1.431350
rm389 1.850050
rm390 1.392850
rm391 1.417900
rm392 0.8432600
rm393 0.5845000
rm394 1.965590
rm395 1.683970
rm396 1.836110
rm397 2.017340
rm398 1.271470
rm399 0.6083100
rm400 1.483530
rm401 1.822150
rm402 1.190570
rm403 1.611800
rm404 1.443620
rm405 3.386530
rm406 1.341020
rm407 0.9224800
rm408 1.734500
rm409 2.110210
rm410 1.818600
rm411 1.733760
rm412 1.515190
rm413 3.339730
rm414 1.457180
rm415 1.633320
rm416 2.599820
rm417 1.166730
rm418 1.418150
rm419 1.271900
rm420 3.345410
rm421 0.7921900
rm422 1.073560
rm423 1.521170
rm424 2.660450
rm425 2.573460
rm426 1.543680
rm427 1.074550
rm428 0.9802100
rm429 2.221610
rm430 3.918560
rm431 1.518000
rm432 1.391470
rm433 1.626490
rm434 1.545390
rm435 2.295240
rm436 1.742510
rm437 0.8566900
rm438 0.8262800
rm439 0.8354400
rm440 0.7542100
rm441 1.396660
rm442 2.151970
rm443 1.122500
rm444 1.965430
rm445 1.518780
rm446 1.486200
rm447 1.707260
rm448 1.626210
rm449 1.217630
rm450 0.8975500
rm451 2.673590
rm452 2.028420
rm453 0.3914800
rm454 2.010940
rm455 1.809130
rm456 2.266260
rm457 0.6039300
rm458 2.730960
rm459 1.155530
rm460 0.9900100
rm461 2.271560
rm462 1.632490
rm463 1.350020
rm464 1.249260
rm465 1.059310
rm466 1.198390
rm467 1.886900
rm468 3.127100
rm469 1.004070
rm470 1.879480
rm471 1.364160
rm472 1.082360
rm473 1.625190
rm474 2.165480
rm475 1.963930
rm476 1.507050
rm477 1.337420
rm478 0.9560100
rm479 1.246910
rm480 0.9951800
rm481 1.750040
rm482 1.530140
rm483 1.523820
rm484 2.216600
rm485 2.562530
rm486 1.401030
rm487 1.845090
rm488 2.604220
rm489 1.002990
rm490 1.952890
rm491 1.960720
rm492 0.9636800
rm493 1.591660
rm494 1.866800
rm495 2.263330
rm496 2.079940
rm497 0.5113700
rm498 2.130810
rm499 2.324840
rm500 1.966210
rm501 1.154630
rm502 1.784370
rm503 2.823930
rm504 1.825980
rm505 1.144300
rm506 1.735620
rm507 2.575010
rm508 3.228020
rm509 2.654390
rm510 0.7100800
rm511 1.981950
rm512 4.328380
rm513 1.747920
rm514 1.515410
rm515 0.8056100
rm516 2.216860
rm517 2.216100
rm518 0.4594000
rm519 0.5538800
rm520 3.268470
rm521 1.681280
rm522 1.384390
rm523 1.229280
rm524 2.316670
rm525 0.8651100
rm526 2.171110
rm527 1.646650
rm528 1.819820
rm529 2.779850
rm530 2.214200
rm531 1.584070
rm532 2.406600
rm533 1.769950
rm534 1.522020
rm535 2.122380
rm536 1.623350
rm537 1.853960
rm538 1.639760
rm539 0.8457900
rm540 2.746570
rm541 0.4399700
rm542 1.823560
rm543 2.059010
rm544 1.532270
rm545 0.9808800
rm546 1.029770
rm547 1.728790
rm548 0.7308200
rm549 2.274620
rm550 1.879460
rm551 0.6805700
rm552 1.548460
rm553 1.868490
rm554 1.706120
rm555 2.178980
rm556 1.494260
rm557 2.519450
rm558 1.904530
rm559 1.223930
rm560 1.866450
rm561 1.652340
rm562 2.785640
rm563 1.970590
rm564 2.471550
rm565 1.772060
rm566 1.597080
rm567 1.340080
rm568 1.236320
rm569 1.289520
rm570 2.373510
rm571 1.714240
rm572 0.9925600
rm573 1.993010
rm574 1.982180
rm575 1.625000
rm576 1.437010
rm577 1.568480
rm578 1.569740
rm579 2.329410
rm580 2.002330
rm581 1.345400
rm582 1.349170
rm583 1.709030
rm584 4.057550
rm585 1.828840
rm586 2.392010
rm587 3.467810
rm588 0.9980500
rm589 0.7509400
rm590 1.563720
rm591 2.100070
rm592 1.318570
rm593 0.9919200
rm594 2.933800
rm595 1.707190
rm596 1.364480
rm597 1.204540
rm598 1.685010
rm599 1.385700
rm600 1.424860
rm601 0.6598100
rm602 3.115180
rm603 1.682900
rm604 2.831550
rm605 3.217940
rm606 2.192900
rm607 1.829890
rm608 1.345080
rm609 2.229520
rm610 1.255430
rm611 1.885600
rm612 2.083310
rm613 2.336220
rm614 2.061440
rm615 2.257890
rm616 2.319860
rm617 1.645430
rm618 0.7560700
rm619 1.553410
rm620 2.582370
rm621 1.774200
rm622 0.5717400
rm623 2.959360
rm624 2.086000
rm625 2.994250
rm626 2.092940
rm627 1.317210
rm628 1.371130
rm629 1.641000
rm630 1.889030
rm631 2.717270
rm632 0.6810200
rm633 2.438610
rm634 0.6506400
rm635 2.594980
rm636 2.232140
rm637 0.8488500
rm638 0.6767100
rm639 1.198320
rm640 1.241550
rm641 0.8054900
rm642 1.231410
rm643 0.9621800
rm644 0.8468200
rm645 0.4738900
rm646 1.408870
rm647 1.598810
rm648 1.787910
rm649 0.8495600
rm650 1.350680
rm651 1.486230
rm652 2.216870
rm653 0.8834900
rm654 0.6707500
rm655 2.262050
rm656 1.800870
rm657 1.381050
rm658 1.946590
rm659 0.9239300
rm660 1.852420
rm661 2.410720
rm662 1.284850
rm663 0.6743600
rm664 0.8395900
rm665 1.944340
rm666 1.293740
rm667 3.393180
rm668 0.8545600
rm669 0.8400500
rm670 2.020840
rm671 1.981610
rm672 1.254400
rm673 1.235650
rm674 1.553310
rm675 0.9191600
rm676 2.514850
rm677 1.201580
rm678 1.462520
rm679 2.002970
rm680 1.830640
rm681 0.9730000
rm682 1.881080
rm683 1.276920
rm684 1.735480
rm685 0.9625400
rm686 2.133720
rm687 3.072250
rm688 1.679500
rm689 2.004560
rm690 1.504080
rm691 1.530010
rm692 1.641760
rm693 1.988530
rm694 0.5323800
rm695 1.525820
rm696 1.216200
rm697 1.027860
rm698 2.136660
rm699 2.345520
rm700 1.627780
rm701 0.6833200
rm702 1.189060
rm703 2.215650
rm704 1.649310
rm705 1.771930
rm706 1.773800
rm707 0.8906600
rm708 2.386240
rm709 1.251100
rm710 2.868270
rm711 1.426310
rm712 1.703240
rm713 2.369880
rm714 0.9213600
rm715 1.701320
rm716 2.278330
rm717 2.188980
rm718 3.189130
rm719 0.8004800
rm720 0.4675000
rm721 1.424650
rm722 2.509410
rm723 1.635180
rm724 2.155090
rm725 1.770360
rm726 1.210040
rm727 1.323730
rm728 1.127910
rm729 2.767910
rm730 2.691560
rm731 1.299560
rm732 2.054460
rm733 0.4547400
rm734 2.331890
rm735 1.828580
rm736 0.5834900
rm737 1.585100
rm738 1.598630
rm739 2.987640
rm740 1.967670
rm741 1.722570
rm742 1.684200
rm743 1.730490
rm744 0.7237700
rm745 1.584540
rm746 0.6828300
rm747 1.325280
rm748 1.847660
rm749 2.561410
rm750 0.9496200
rm751 1.367740
rm752 1.864180
rm753 1.562370
rm754 1.890920
rm755 1.378720
rm756 0.8516000
rm757 1.122750
rm758 1.532180
rm759 1.966080
rm760 1.518300
rm761 0.7706800
rm762 0.7831800
rm763 1.634130
rm764 0.9849500
rm765 2.981870
rm766 0.1646600
rm767 0.5271800
rm768 0.2586900
rm769 0.1872100
rm770 1.861620
rm771 1.492390
rm772 0.2491400
rm773 1.106470
rm774 1.686160
rm775 0.1730100
rm776 0.1164000
rm777 1.401660
rm778 0.7853600
rm779 0.1522700
rm780 1.770730
rm781 0.2638800
rm782 0.3626800
rm783 0.9850900
rm784 1.677230
rm785 3.593570
rm786 2.042460
rm787 1.583440
rm788 0.8438300
rm789 0.4254400
rm790 0.2378200
rm791 1.355690
rm792 0.5256900
rm793 1.486170
rm794 2.386270
rm795 1.733290
rm796 3.007880
rm797 0.2426100
rm798 0.4226100
rm799 2.611530
rm800 1.176710
rm801 1.771990
rm802 1.857350
rm803 3.623330
rm804 0.6766100
rm805 0.6211600
rm806 1.867850
rm807 1.816070
rm808 0.9577000
rm809 1.659170
rm810 1.825780
rm811 1.964060
rm812 0.7028300
rm813 0.9553700
rm814 0.9580700
rm815 1.697310
rm816 1.637190
rm817 1.668650
rm818 1.954460
rm819 2.578960
rm820 1.756730
rm821 3.510800
rm822 0.2886300
rm823 1.101360
rm824 0.8461900
rm825 1.891450
rm826 1.678030
rm827 1.965070
rm828 2.782120
rm829 1.803930
rm830 1.389820
rm831 2.129550
rm832 1.975260
rm833 1.617920
rm834 1.175050
rm835 1.544930
rm836 2.107360
rm837 1.483040
rm838 0.8565400
rm839 0.9751000
rm840 0.2439200
rm841 1.275600
rm842 1.600660
rm843 0.5632800
rm844 2.721090
rm845 0.2725100
rm846 0.2284300
rm847 0.7589900
rm848 0.7571300
